URI	instances	micro-precision	micro-recall	micro-F1
http://aksw.org/notInWiki/Joseph_Schwebel	1	1.0	1.0	1.0
http://dbpedia.org/resource/State_Secretariat_for_Economic_Affairs	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Senkaku_Islands	2	0.5	0.5	0.5
http://aksw.org/notInWiki/Barbara_Yeninas	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Tracy_Schmaler	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Douglas_Inn	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Chen_Chung-hsing	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Benson_Roe	1	1.0	1.0	1.0
http://dbpedia.org/resource/Maruti_Suzuki	1	1.0	1.0	1.0
http://dbpedia.org/resource/Larry_Fitzgerald	3	1.0	0.6666666666666666	0.8
http://aksw.org/notInWiki/McLean_Poulin	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Kim_Shaver	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Dawud_Walid	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Jose_Aguilar	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Josh_Niblett	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Lee	1	1.0	1.0	1.0
http://dbpedia.org/resource/Daniel_Yergin	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Adrienne_Kinne	1	1.0	1.0	1.0
http://dbpedia.org/resource/NASA	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Kentucky_Distillers_Association	1	1.0	1.0	1.0
http://aksw.org/notInWiki/California_Department_of_Forestry_and_Fire_Protection	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Tom_Wilkinson	1	1.0	1.0	1.0
http://dbpedia.org/resource/W._Bradford_Wilcox	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Sharon_Singh	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Erin_Hulyk	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Jessica_Sidman	1	1.0	1.0	1.0
http://dbpedia.org/resource/London	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Abhijeet_Group	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Kenneth_Kahn	1	1.0	1.0	1.0
http://dbpedia.org/resource/Barclays	2	1.0	1.0	1.0
http://aksw.org/notInWiki/DuMouchelle_Art_Galleries	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Adrian_Lund	1	1.0	1.0	1.0
http://dbpedia.org/resource/Henry_H._Kennedy,_Jr.	1	1.0	1.0	1.0
http://dbpedia.org/resource/February	1	1.0	1.0	1.0
http://dbpedia.org/resource/Steven_Stamkos	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Health_Policy_Center	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Robert_Stefan_Heard	2	1.0	1.0	1.0
http://aksw.org/notInWiki/Julie_Pace	1	1.0	1.0	1.0
http://dbpedia.org/resource/%C3%81ngel_di_Mar%C3%ADa	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Thompson	1	1.0	1.0	1.0
http://dbpedia.org/resource/Golden_Globe_Award	1	1.0	1.0	1.0
http://dbpedia.org/resource/Kobe_Bryant	1	1.0	1.0	1.0
http://dbpedia.org/resource/Atlanta	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Ilda_Bustos	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Galipeau	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Arthur_Caplan	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Sarah_Rogers	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Helen_Hodge	1	1.0	1.0	1.0
http://dbpedia.org/resource/Japan	1	1.0	1.0	1.0
http://dbpedia.org/resource/Chicago_White_Sox	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bill_Lee	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Paolo_Gabriele	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Thomas_Kyle	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Springboard_Healthcare_Staffing_and_Search	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Casey_Guerrero	1	1.0	1.0	1.0
http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Anand_Kumar	1	1.0	1.0	1.0
